,Origen,RetrasoS,RetrasoL
0,"Richmond, VA",45,14
1,"Houston, TX",47,16
2,"Charlotte, NC",46,16
3,"Richmond, VA",45,15
4,"Detroit, MI",46,15
5,"Richmond, VA",45,15
6,"Richmond, VA",45,15
7,"Richmond, VA",48,17
8,"Detroit, MI",55,25
9,"Detroit, MI",48,17
10,"Orlando, FL",48,17
11,"Watertown, NY",45,15
12,"Wilmington, NC",44,13
13,"Philadelphia, PA",45,15
14,"Watertown, NY",45,15
15,"Detroit, MI",59,29
16,"Richmond, VA",46,15
17,"Philadelphia, PA",45,15
18,"Newark, NJ",45,15
19,"New York, NY",44,13
20,"Philadelphia, PA",45,15
21,"Watertown, NY",45,14
22,"Wilmington, NC",44,13
23,"Philadelphia, PA",45,15
24,"Watertown, NY",45,15
25,"Islip, NY",44,12
26,"Watertown, NY",45,15
27,"Watertown, NY",45,15
28,"Islip, NY",44,13
29,"Philadelphia, PA",45,15
